"B","u"
0,3993,85560675883
16,6458333333333,4157,21902201741
33,2916666666667,4299,57727756115
49,9375,4425,96995746189
66,5833333333333,4547,07106124357
83,2291666666667,4661,17483448765
99,875,4762,17041259062
116,520833333333,4859,1296154065
133,166666666667,4950,21990460021
149,8125,5036,86059907834
166,458333333333,5111,65467182492
183,104166666667,5165,19938461247
199,75,5204,80542754736
216,395833333333,5232,54887891773
233,041666666667,5240,69520639797
249,6875,5231,46578523883
266,333333333333,5182,94715282831
282,979166666667,5112,47631848438
299,625,4996,84949575903
316,270833333333,4783,91001024066
332,916666666667,4548,70823037022
349,5625,4248,87837393022
366,208333333333,3837,39224037611
382,854166666667,3339,24741288706
399,5,2642,0737327189
